488.801,385.586
490.238,264.438
491.869,155.527
475.875,135.634
475.61,213.152
455.03,294.96
428.679,406.626
513.988,203.175
549.912,266.488
581.214,389.096
490.332,482.918
500.459,609.646
491.928,503.983
576.416,648.984

482.322,388.444
485.642,266.148
488.559,156.053
472.06,134.893
468.231,212.167
449.602,298.725
426.934,397.878
509.577,203.354
543.081,270.386
566.002,361.22
489.477,491.001
501.497,612.571
479.246,499.981
544.636,622.576

471.839,395.988
476.639,271.317
481.797,157.742
465.889,137.054
471.823,193.513
448.068,276.664
430.826,368.492
498.887,205.048
459.12,276.778
421.844,383.987
484.63,489.639
500.829,614.072
454.81,508.877
523.771,618.244

467.517,398.327
471.766,273.776
475.832,159.658
461.348,140.914
465.998,194.363
444.542,275.596
422.277,365.106
491.731,205.52
456.585,276.344
424.859,364.306
459.577,483.87
505.437,601.86
467.702,526.733
517.771,630.051

463.086,400.471
465.837,276.279
468.514,162.019
456.002,143.031
459.912,194.896
440.823,272.998
418.712,361.348
484.059,206.28
451.818,275.441
417.389,368.155
452.245,481.929
467.472,591.543
481.859,517.329
498.47,619.368

458.478,400.645
461.362,277.318
464.375,163.303
450.286,147.61
445.021,196.764
431.2,272.144
415.212,358.665
477.416,207.638
447.434,275.671
413.033,366.327
425.52,474.816
446.098,573.132
488.935,490.618
487.611,604.567

453.62,400.491
455.603,279.163
457.654,166.616
443.337,151.701
444.577,197.57
427.175,271.721
397.32,404.922
470.823,211.236
441.72,278.748
407.989,367.362
411.794,471.633
432.38,576.378
487.953,489.715
495.076,601.115

449.257,400.472
449.861,281.396
450.49,170.986
436.857,154.946
444.185,198.61
425.906,273.47
404.753,368.153
463.715,214.577
436.43,281.559
404.64,366.286
402.743,470.335
416.392,572.546
485.348,488.037
495.726,599.684

444.401,399.618
444.621,283.208
444.955,174.76
430.902,158.086
422.117,222.336
412.404,295.47
392.85,387.859
457.298,217.89
430.516,284.91
398.295,370.768
398.661,471.099
400.522,567.58
481.601,485.22
496.098,599.042

441.261,402.065
439.54,286.934
437.861,179.555
423.43,161.945
423.876,239.459
403.618,312.743
382.351,415.727
449.42,222.65
423.472,289.861
393.273,374.322
395.014,471.064
385.969,567.428
477.843,484.429
496.102,598.372

435.009,398.149
433.189,287.631
431.008,184.629
416.956,165.435
409.801,221.606
402.042,294.826
390.354,387.337
442.74,225.085
417.812,291.726
386.707,378.234
387.935,480.97
376.357,563.312
473.94,488.525
495.781,598.667

428.749,397.884
426.225,289.988
424.255,188.509
410.788,168.884
405.316,223.812
395.769,298.247
390.7,392.13
434.992,229.186
410.501,296.638
380.304,383.766
385.856,474.8
369.261,558.799
468.505,486.47
494.755,599.011

422.337,396.727
418.393,291.784
414.244,193.154
403.999,171.587
393.339,228.867
390.66,304.843
385.342,397.966
426.385,232.87
